county,is_business,product_type,is_consumption,Model,MAPE,MAE
0,0,1,0,"SARIMAX(5, 1, 0)",30.497431306091933,365.99685838409374
0,0,1,1,"SARIMAX(3, 1, 2)",0.32991784543675706,263.7834549980537
0,0,2,0,"SARIMAX(5, 1, 0)",7.41029589492337,4.673815514474693
0,0,2,1,"SARIMAX(5, 1, 3)",0.47575911569094387,16.009748820098014
0,0,3,0,"SARIMAX(5, 1, 0)",17.990964969419636,1169.668161166617
0,0,3,1,"SARIMAX(5, 1, 1)",0.34801509579685147,806.7062106972138
0,1,0,0,"SARIMAX(2, 1, 4)",393.27242060350824,38.39491444999934
0,1,0,1,"SARIMAX(3, 1, 3)",0.38594445482545797,516.6446190720226
0,1,1,0,"SARIMAX(5, 1, 0)",152.69512611143307,121.95689755021718
0,1,1,1,"SARIMAX(5, 1, 4)",0.3627365467537083,587.7857026768822
0,1,3,0,"SARIMAX(5, 1, 0)",35.34227473949681,879.5182460191864
0,1,3,1,"SARIMAX(4, 1, 2)",0.31398145902969293,3883.19168698427
1,0,1,0,"SARIMAX(1, 1, 0)",48.337715916711424,14.092135650596429
1,0,1,1,"SARIMAX(2, 1, 4)",0.4200591670379322,10.772992723276476
1,0,3,0,"SARIMAX(5, 1, 0)",17.24171735826086,56.34680942319336
1,0,3,1,"SARIMAX(2, 1, 4)",0.33735943332147816,28.646425372963737
1,1,3,0,"SARIMAX(5, 1, 0)",39.94359729757208,29.609568577772585
1,1,3,1,"SARIMAX(1, 1, 0)",0.26112955264675225,34.11904346305737
2,0,3,0,"SARIMAX(5, 1, 0)",13.198908622473446,71.08656892051098
2,0,3,1,"SARIMAX(2, 1, 5)",0.3503489800965829,33.04902503580905
2,1,3,0,"SARIMAX(5, 1, 0)",7.943081180875013,48.04158036018171
2,1,3,1,"SARIMAX(2, 1, 3)",0.971822824267439,260.1496794936206
3,0,1,0,"SARIMAX(5, 1, 0)",7.68524619388705,34.76736887905984
3,0,1,1,"SARIMAX(4, 1, 2)",0.3497024028275935,19.546662524262025
3,0,3,0,"SARIMAX(5, 1, 0)",6.218103866200674,135.14026228363534
3,0,3,1,"SARIMAX(2, 1, 5)",0.4343838263383268,62.17032474491566
3,1,1,0,"SARIMAX(5, 1, 0)",4.906563536343015,16.16389575421987
3,1,1,1,"SARIMAX(5, 1, 0)",0.4132734727406053,22.363367462751956
3,1,3,0,"SARIMAX(5, 1, 0)",3.480073452587075,162.04570379453781
3,1,3,1,"SARIMAX(5, 1, 0)",0.338146154870621,311.23932090328236
4,0,1,0,"SARIMAX(5, 1, 0)",9.16716114033261,24.77815186042799
4,0,1,1,"SARIMAX(1, 1, 5)",0.3656736021577096,12.625237698790526
4,0,3,0,"SARIMAX(5, 1, 0)",5.116068833524699,76.89406239204271
4,0,3,1,"SARIMAX(2, 1, 2)",0.4795646253462599,73.80214579254083
4,1,0,0,"SARIMAX(2, 1, 2)",5.967976767732631,60.46882952202927
4,1,0,1,"SARIMAX(3, 1, 2)",0.41045853475828564,234.02308711634493
4,1,3,0,"SARIMAX(5, 1, 0)",9.990943998929186,88.2979724984106
4,1,3,1,"SARIMAX(1, 1, 0)",0.310170038999831,329.19936844371625
5,0,1,0,"SARIMAX(5, 1, 0)",10.054805093461209,47.28968172198735
5,0,1,1,"SARIMAX(2, 1, 5)",0.3386489064851766,32.20477250286716
5,0,3,0,"SARIMAX(5, 1, 0)",7.008918994348668,205.75687285838774
5,0,3,1,"SARIMAX(3, 1, 2)",0.37235249056415937,84.61701640761072
5,1,1,0,"SARIMAX(5, 1, 0)",28.493557299258782,32.57279382051931
5,1,1,1,"SARIMAX(2, 1, 2)",0.5237046917145102,69.60147795088398
5,1,3,0,"SARIMAX(5, 1, 0)",7.14049441213585,246.84457055333576
5,1,3,1,"SARIMAX(2, 1, 4)",0.3802616788017895,464.38294878986784
6,1,3,0,"SARIMAX(5, 1, 0)",93.52962075123004,11.804147891082675
6,1,3,1,"SARIMAX(2, 1, 2)",0.4203446162060192,123.66164250997824
7,0,1,0,"SARIMAX(5, 1, 0)",51.87638733381816,94.0955648129295
7,0,1,1,"SARIMAX(4, 1, 2)",0.3436183109854782,50.38602761179897
7,0,3,0,"SARIMAX(5, 1, 0)",35.28759287560353,305.49426711668946
7,0,3,1,"SARIMAX(2, 1, 5)",0.3481730307588075,132.18113859538397
7,1,0,0,"SARIMAX(5, 1, 0)",120.80835064394172,100.06366504590424
7,1,0,1,"SARIMAX(5, 1, 0)",0.4213545388768312,261.0933307305425
7,1,1,0,"SARIMAX(3, 1, 5)",216.87019406118497,74.53450760470139
7,1,1,1,"SARIMAX(5, 1, 1)",0.4877621827605964,264.6777140543906
7,1,3,0,"SARIMAX(5, 1, 0)",18.812060504468896,167.4201939244182
7,1,3,1,"SARIMAX(5, 1, 3)",0.2781455217173643,242.39860482785048
8,0,1,0,"SARIMAX(4, 1, 4)",73.1868354704661,23.819078060180484
8,0,1,1,"SARIMAX(2, 1, 2)",0.325379293233432,12.279234711657333
8,0,3,0,"SARIMAX(5, 1, 0)",6.730626425622679,105.12385538690314
8,0,3,1,"SARIMAX(2, 1, 4)",0.38860835751566764,40.133632145372104
8,1,3,0,"SARIMAX(5, 1, 0)",22.122905167025745,152.80946388325913
8,1,3,1,"SARIMAX(3, 1, 1)",0.18574968500498237,83.75123662699202
9,0,1,0,"SARIMAX(5, 1, 0)",89.34632783601647,55.33048850130072
9,0,1,1,"SARIMAX(3, 1, 2)",0.35795676853222946,33.06088225339511
9,0,3,0,"SARIMAX(5, 1, 0)",34.673805439830765,162.3641573635925
9,0,3,1,"SARIMAX(3, 1, 2)",0.3445760823119731,81.57164332618268
9,1,1,0,"SARIMAX(5, 1, 0)",51.6610488986161,22.562124945781612
9,1,1,1,"SARIMAX(3, 1, 1)",0.28326803336630346,15.482233513762809
9,1,3,0,"SARIMAX(5, 1, 0)",1747.5123806403712,78.48013968915932
9,1,3,1,"SARIMAX(1, 1, 2)",0.29626471926253767,106.76007039332072
10,0,1,0,"SARIMAX(5, 1, 0)",15.953545319271992,66.30326274280486
10,0,1,1,"SARIMAX(4, 1, 2)",0.3796131942684323,31.009679330402054
10,0,3,0,"SARIMAX(5, 1, 0)",12.672253890634863,238.61885769466207
10,0,3,1,"SARIMAX(3, 1, 2)",0.3845932363050297,91.66438536041291
10,1,1,0,"SARIMAX(5, 1, 0)",15.385003984420507,29.1245711550427
10,1,1,1,"SARIMAX(0, 1, 1)",0.8088391569855208,61.37273809329905
10,1,3,0,"SARIMAX(5, 1, 0)",11.757599108408009,166.69780444070855
10,1,3,1,"SARIMAX(2, 1, 1)",0.3946579424725412,526.0332732463917
11,0,1,0,"SARIMAX(5, 1, 0)",7.326694431312639,126.7179940031157
11,0,1,1,"SARIMAX(5, 1, 4)",0.34526055559618096,76.45852878961263
11,0,3,0,"SARIMAX(5, 1, 0)",8.067020139682716,596.4842060018791
11,0,3,1,"SARIMAX(2, 1, 5)",0.38360357933221456,302.0662929554868
11,1,1,0,"SARIMAX(5, 1, 0)",6.91836731292577,106.51363450181745
11,1,1,1,"SARIMAX(2, 1, 1)",0.44426028924864064,343.17700623507056
11,1,3,0,"SARIMAX(5, 1, 0)",10.999687421009941,412.8462520921224
11,1,3,1,"SARIMAX(4, 1, 3)",0.5645125041479152,2049.5785634929052
12,1,3,0,"SARIMAX(1, 1, 0)",6.62029568759478e+16,14.700009404388714
12,1,3,1,"SARIMAX(4, 1, 4)",0.5351346422411999,215.87162509533977
13,0,1,0,"SARIMAX(5, 1, 0)",5.8694740416340805,14.188670935122778
13,0,1,1,"SARIMAX(1, 1, 0)",0.43328584294252914,10.36229645698007
13,0,3,0,"SARIMAX(5, 1, 0)",5.099994368603084,89.79238561728627
13,0,3,1,"SARIMAX(4, 1, 5)",0.3509908965044846,42.033908520230334
13,1,3,0,"SARIMAX(5, 1, 0)",25.226443095352245,333.65779893105133
13,1,3,1,"SARIMAX(4, 1, 3)",12.624004793471013,132.50573765083968
14,0,1,0,"SARIMAX(5, 1, 0)",3.471293748809997,40.94640234886179
14,0,1,1,"SARIMAX(5, 1, 3)",0.34822321116017785,18.6280280560912
14,0,3,0,"SARIMAX(5, 1, 0)",2.8047202302675425,226.8272219749405
14,0,3,1,"SARIMAX(2, 1, 4)",0.35789492765345354,98.21491627048314
14,1,1,0,"SARIMAX(5, 1, 0)",6.162794806101893,19.900388415709575
14,1,1,1,"SARIMAX(4, 1, 1)",0.5080403344823812,71.65767611475052
14,1,3,0,"SARIMAX(5, 1, 0)",2.965143246950612,277.60522428837345
14,1,3,1,"SARIMAX(3, 1, 1)",0.45954011727985905,622.5639963333899
15,0,1,0,"SARIMAX(5, 1, 0)",16.728518086451462,28.336693654410197
15,0,1,1,"SARIMAX(2, 1, 4)",0.32062961432967607,22.05899659195571
15,0,3,0,"SARIMAX(5, 1, 0)",10.985267215344113,130.13609222022595
15,0,3,1,"SARIMAX(5, 1, 5)",0.3254057028286294,51.49813317433811
15,1,1,0,"SARIMAX(1, 1, 0)",9.23571638225839,50.27663686752321
15,1,1,1,"SARIMAX(4, 1, 1)",0.9012489910781182,84.81662057394622
15,1,3,0,"SARIMAX(5, 1, 0)",21.50635738516618,113.81928340018521
15,1,3,1,"SARIMAX(4, 1, 3)",0.47676529155607933,291.2531698739276
